taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit,wcvp_accepted_name,taxonomic_rank,wcvp_url,source
Calophyllum longifolium-CALOLO-CAL2,8223607,Calophyllum longifolium,Freestanding,Calophyllum longifolium,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:427212-1,wcvp
Calopogonium,2959416,Calopogonium,,Calopogonium,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30007003-2,wcvp
Calopogonium caeruleum,7661174,Calopogonium caeruleum,Climbing,Calopogonium caeruleum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60471356-2,wcvp
Calopogonium mucunoides-CAL6MU,2959433,Calopogonium mucunoides,Climbing,Calopogonium mucunoides,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:483437-1,wcvp
Calycolpus,3177606,Calycolpus,,Calycolpus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326104-2,wcvp
Calycolpus warszewiczianus-CAL1WA-CALW,8353141,Calycolpus warszewiczianus,Freestanding,Calycolpus warszewiczianus,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:591496-1,wcvp
Calycophyllum,2903995,Calycophyllum,,Calycophyllum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:34281-1,wcvp
Calycophyllum candidissimum-CAL2CA-CALC,2904009,Calycophyllum candidissimum,Freestanding,Calycophyllum candidissimum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:745241-1,wcvp
Calyptrion,7720745,Calyptrion,,Calyptrion,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30179831-2,wcvp
Calyptrogyne,2732316,Calyptrogyne,,Calyptrogyne,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30021053-2,wcvp
Camonea,9637520,Camonea,,Camonea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:11814-1,wcvp
Campanulaceae,8801,Campanulaceae,,Campanulaceae,family,,wcvp
Campnosperma,7160813,Campnosperma,,Campnosperma,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331453-2,wcvp
Cananga,5407582,Cananga,,Cananga,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1034197-2,wcvp
Canarium,3190431,Canarium,,Canarium,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5127-1,wcvp
Canavalia,8285917,Canavalia,,Canavalia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21926-1,wcvp
Canavalia brasiliensis-CAL2BR-CAND,2962154,Canavalia brasiliensis,Climbing,Canavalia brasiliensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:483623-1,wcvp
Cannabaceae,2384,Cannabaceae,,Cannabaceae,family,,wcvp
Caphexandra,8346879,Caphexandra,,Morisonia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5976-1,wcvp
Capparaceae,3111,Capparaceae,,Capparaceae,family,,wcvp
Capparidastrum,6370671,Capparidastrum,,Morisonia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5976-1,wcvp
