col,row,name,date,p5,tag,dbh,comments,,,,
41,43,AC,11/23/04,32,22194,72,,,,,
41,43,AC,11/23/04,32,22194,83,,,,,
41,43,AC,11/23/04,34,22196,82,,,,,
41,43,AC,11/23/04,34,22196,63,,,,,
41,43,AC,11/23/04,34,22196,90,,,,,
41,43,AC,11/23/04,34,22196,116,,,,,
41,43,AC,11/23/04,34,22196,114,,,,,
41,43,AC,11/23/04,34,22196,95,,,,,
41,43,AC,11/23/04,34,22196,88,,,,,
41,43,AC,11/23/04,34,22196,101,,,,,
41,43,AC,11/23/04,41,22197,70,,,,,
41,43,AC,11/23/04,41,22197,92,,,,,
41,43,AC,11/23/04,41,22197,73,,,,,
41,44,AC,11/23/04,43,22206,88,,,,,
41,44,AC,11/23/04,43,22206,90,,,,,
41,44,AC,11/23/04,42,22207,294,,,,,
41,44,AC,11/23/04,42,22207,224,,,,,
42,31,AC,11/17/04,34,21515,448,,,,,
42,31,AC,11/17/04,34,21515,258,,,,,
42,33,AC,11/17/04,12,21532,86,,,,,
42,33,AC,11/17/04,12,21532,77,,,,,
42,34,BB,11/17/04,24,21555,127,,,,,
42,34,BB,11/17/04,24,21555,116,,,,,
42,34,BB,11/17/04,24,21555,103,,,,,
42,34,BB,11/17/04,24,21555,57,,,,,
42,34,BB,11/17/04,24,21555,83,,,,,
42,34,BB,11/17/04,24,21555,112,,,,,
42,34,BB,11/17/04,24,21555,83,,,,,
42,34,BB,11/17/04,24,21555,100,,,,,
42,34,BB,11/17/04,24,21555,85,,,,,
42,34,BB,11/17/04,24,21555,107,,,,,
42,34,BB,11/17/04,24,21555,110,,,,,
42,34,BB,11/17/04,24,21555,105,,,,,
42,34,BB,11/17/04,24,21555,107,,,,,
42,34,BB,11/17/04,24,21555,101,,,,,
42,34,BB,11/17/04,24,21555,53,,,,,
42,34,BB,11/17/04,23,21556,83,,,,,
42,34,BB,11/17/04,23,21556,97,,,,,
42,34,BB,11/17/04,23,21556,94,,,,,
42,34,BB,11/17/04,23,21556,109,,,,,
42,34,BB,11/17/04,23,21556,107,,,,,
